,Topic,Words,Frequency,Timestamp
0,0,"他並抨擊裴洛西, 因為他整天都將接受幕僚簡報, 以愛看電視聞名的川普不會看眾院辯論的實況轉播, 眾議院今天中午開始辯論指控川普濫用職權和妨礙國會調查的彈劾條款, 川普也被控妨礙國會對這項醜聞的調查",1,1905-03-20 21:38:52.800
1,-1,"則決定禁止所有政治廣告, 尤其是我們觸及許多年輕選民和首投族, 社會或環保相關議題中, 稱此舉目的是反擊政治人物散播假消息, 社群網站推特",1,1917-02-18 19:12:00.000
2,-1,"警方沒有干擾學生的遊行, 自由西藏組織則說, 所有教科書將採用中文, 柯林顿抵达会场时拒绝预告他要传递的讯息, 柯林顿15年前大力推动健保改革失利",2,2005-08-19 07:12:00.000
3,0,"德州传统上是保守派大票仓, 1980年以来支持的都是共和党候选人, 处于撂倒共和党籍现任总统川普的有利地位, 迄今参与率已经超越人口更多的加州, 法新社休士顿19日电",1,2005-08-19 07:12:00.000
4,33,"radio, canada, rcinet, 微信id, ca",1,2005-08-19 07:12:00.000
5,-1,"美元, 欧元, 审校, 编译, 净仓位",279,2011-07-14 04:48:00.000
6,0,"trump, donald, 我要評比, 中央社, fired",8,2011-07-14 04:48:00.000
7,1,"block, 伊402, iridium, next, 專家認為這24艘潛艦可說是寶貴的戰爭遺產",6,2011-07-14 04:48:00.000
8,2,"或0, msci明晟亚太地区, 除日本, 上涨0, 标准普尔500指数",16,2011-07-14 04:48:00.000
9,3,"美元, 欧元, 日圆, 澳元, 新西兰元",111,2011-07-14 04:48:00.000
10,6,"要闻, 省环境保护政府奖揭晓, 中国直播平台领先全球市场, 第2版, 第9版",3,2011-07-14 04:48:00.000
11,7,"國際設計週論壇, 設計之都, 美國, tios, 即日起開放報名",4,2011-07-14 04:48:00.000
12,8,"现货金, 现货银, 现货钯金, 现货铂金, 报每盎司1",59,2011-07-14 04:48:00.000
13,9,"here, 路透全新邮件产品服务, 请点击此处, 让您在每日清晨收到路透全球财经资讯精华和最新投资动向, 开通此服务",56,2011-07-14 04:48:00.000
14,10,"opec, asrubber, 萬桶, 美元, iea称",20,2011-07-14 04:48:00.000
15,12,"她表示和另外9名政治囚犯一同獲釋, 我在熟睡中听到了几声枪响, 敏哥奈是其中一名被釋放的政治犯, kamjonkitkarn对路透称, 泰国紧急事务官员称",2,2011-07-14 04:48:00.000
16,13,"占中, reuters, 路透香港9月29日, 永不后退, 國家報",4,2011-07-14 04:48:00.000
17,14,"防衛固守, 影響地區穩定, 強調大陸, 台灣蔡英文政府發佈首份防務報告, 重層嚇阻",1,2011-07-14 04:48:00.000
18,15,"選民們, 這也標誌著下一輪自主學校湧現的開始, 希望成為自主學校的申請從今天, 教師和家長團體主管, 進一步擴展自主學校的規模是保守黨在競選中的主要誓言之一",1,2011-07-14 04:48:00.000
19,16,"2013台湾政策法案, 台灣同胞, 台灣與港澳同胞, 草案二次審議稿, 夏張會",2,2011-07-14 04:48:00.000
20,17,"00, 25, 50, 75, 5基点",33,2011-07-14 04:48:00.000
21,18,"可能不會獲委任, 本屆特首選舉3名候選人中, 選林鄭月娥, 特首產生的其中一道程序, 選曾俊華",1,2011-07-14 04:48:00.000
22,19,"至11, 赛门铁克的营收减少0, 他們並在瓶底埋入植物種子, 全球環保議題升溫, 世界各大企業紛紛提出永續創新的願景與要求",2,2011-07-14 04:48:00.000
23,20,"路透全新邮件产品服务, 开通此服务, 每日财经荟萃, 请点击此处, 让您在每日清晨收到路透全球财经资讯精华和最新投资动向",9,2011-07-14 04:48:00.000
24,21,"巴黎协定, 過去25年, 這些糧食的營養價值就會發生變化, 當糧食的數量和地區性的變化, 08億公頃",4,2011-07-14 04:48:00.000
25,22,"沪港通, 离岸贸易, 内地化, 零和游戏, 硬件",1,2011-07-14 04:48:00.000
26,23,"美联储当前每月450亿美元的买债计划料在2013年结束, 1月4日调查时的预估中值为5, 美国失业率在2015年料降至6, 但劳动力市场持续改善, 僵局而达成的协议将全面削减支出推迟了两个月",1,2011-07-14 04:48:00.000
27,24,"他對英國不會參與軍事打擊敘利亞的行動感到失望, caption, image, 艾茂林, 他說",4,2011-07-14 04:48:00.000
28,25,"gartner称, ks, 因这两款机型都是在第三季最后一个月9月才推出的, 功能型手机销售数据持续下滑, 市占率达32",1,2011-07-14 04:48:00.000
